N_IDE;Estrato;qvar;Elev_pob;se;se2;;;;;;
390410100110;3;1.00;295.565235584;16;163;;;;;;
390410100131;3;1.00;295.565235584;16;163;;;;;;
390410100134;3;1.00;295.565235584;16;163;;;;;;
390440100204;3;1.00;230.463281011;16;163;;;;;;
390440100207;3;1.00;230.463281011;16;163;;;;;;
390560100201;3;1.00;226.204770156;16;163;;;;;;
390560100209;3;1.00;226.204770156;16;163;;;;;;
390560100220;3;1.00;226.204770156;16;163;;;;;;
390560100224;3;1.00;226.204770156;16;163;;;;;;
390560100236;3;1.00;226.204770156;16;163;;;;;;
390570100115;3;1.00;294.721727492;16;163;;;;;;
390570100131;3;1.00;294.721727492;16;163;;;;;;
390570100153;3;1.00;294.721727492;16;163;;;;;;
390760100101;3;1.00;261.463408419;16;163;;;;;;
390760100111;3;1.00;261.463408419;16;163;;;;;;
390760100149;3;1.00;261.463408419;16;163;;;;;;
390760100230;3;1.00;257.036999287;16;163;;;;;;
390760100233;3;1.00;257.036999287;16;163;;;;;;
390950100109;3;1.00;253.381395882;16;163;;;;;;
391020100202;3;1.00;241.361405565;16;163;;;;;;
391020100209;3;1.00;241.361405565;16;163;;;;;;
391020100219;3;1.00;241.361405565;16;163;;;;;;
390020100108;3;1.00;278.062442666;21;213;;;;;;
390110100138;3;1.00;264.439786974;21;213;;;;;;
390410100129;3;1.00;295.565235584;21;213;;;;;;
390570100110;3;1.00;294.721727492;21;213;;;;;;
390760100257;3;1.00;257.036999287;21;213;;;;;;
390950100103;3;1.00;253.381395882;21;213;;;;;;
390990100240;3;1.00;321.376583212;21;213;;;;;;
390110100109;3;1.00;264.439786974;22;223;;;;;;
390110100120;3;1.00;264.439786974;22;223;;;;;;
390440100205;3;1.00;230.463281011;22;223;;;;;;
390440100209;3;1.00;230.463281011;22;223;;;;;;
390570100133;3;1.00;294.721727492;22;223;;;;;;
390760100104;3;1.00;261.463408419;22;223;;;;;;
390760100128;3;1.00;261.463408419;22;223;;;;;;
390760100135;3;1.00;261.463408419;22;223;;;;;;
390760100209;3;1.00;257.036999287;22;223;;;;;;
390950100116;3;1.00;253.381395882;22;223;;;;;;
391020100217;3;1.00;241.361405565;22;223;;;;;;
390020100106;3;1.00;278.062442666;23;233;;;;;;
390020100119;3;1.00;278.062442666;23;233;;;;;;
390020100122;3;1.00;278.062442666;23;233;;;;;;
390020100135;3;1.00;278.062442666;23;233;;;;;;
390110100126;3;1.00;264.439786974;23;233;;;;;;
390370100135;3;1.00;229.020882173;23;233;;;;;;
390440100220;3;1.00;230.463281011;23;233;;;;;;
390440100235;3;1.00;230.463281011;23;233;;;;;;
390560100223;3;1.00;226.204770156;23;233;;;;;;
390560100229;3;1.00;226.204770156;23;233;;;;;;
390560100235;3;1.00;226.204770156;23;233;;;;;;
390570100117;3;1.00;294.721727492;23;233;;;;;;
390760100139;3;1.00;261.463408419;23;233;;;;;;
390760100247;3;1.00;257.036999287;23;233;;;;;;
390950100107;3;1.00;253.381395882;23;233;;;;;;
390950100120;3;1.00;253.381395882;23;233;;;;;;
390950100144;3;1.00;253.381395882;23;233;;;;;;
390950100146;3;1.00;253.381395882;23;233;;;;;;
390990100237;3;1.00;321.376583212;23;233;;;;;;
390990100239;3;1.00;321.376583212;23;233;;;;;;
391020100205;3;1.00;241.361405565;23;233;;;;;;
391020100207;3;1.00;241.361405565;23;233;;;;;;
391020100211;3;1.00;241.361405565;23;233;;;;;;
391020100229;3;1.00;241.361405565;23;233;;;;;;
390110100119;3;1.00;264.439786974;24;243;;;;;;
390110100154;3;1.00;264.439786974;24;243;;;;;;
390370100111;3;1.00;229.020882173;24;243;;;;;;
390370100134;3;1.00;229.020882173;24;243;;;;;;
390370100138;3;1.00;229.020882173;24;243;;;;;;
390370100140;3;1.00;229.020882173;24;243;;;;;;
390440100208;3;1.00;230.463281011;24;243;;;;;;
390570100137;3;1.00;294.721727492;24;243;;;;;;
390760100116;3;1.00;261.463408419;24;243;;;;;;
390760100118;3;1.00;261.463408419;24;243;;;;;;
390760100239;3;1.00;257.036999287;24;243;;;;;;
390760100240;3;1.00;257.036999287;24;243;;;;;;
390950100147;3;1.00;253.381395882;24;243;;;;;;
390990100223;3;1.00;321.376583212;24;243;;;;;;
390990100224;3;1.00;321.376583212;24;243;;;;;;
390990100228;3;1.00;321.376583212;24;243;;;;;;
390990100238;3;1.00;321.376583212;24;243;;;;;;
390990100260;3;1.00;321.376583212;24;243;;;;;;
